>AEQ39149.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
>AEQ39155.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
>AEQ39156.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
>AGB57443.1 metallo-beta-lactamase NDM-1, partial [Chryseobacterium indologenes]
>AGD80054.1 metallo-beta-lactamase NDM-1, partial [Pseudomonas aeruginosa]
>AGD80055.1 metallo-beta-lactamase NDM-1, partial [Pseudomonas aeruginosa]
>AHC53896.1 metallo-beta-lactamase NDM-1, partial [Enterobacter cloacae]
>APT66221.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]
>APX52901.1 carbapenem-hydrolyzing metallo-beta-lactamase NDM-1, partial (plasmid) [Klebsiella pneumoniae]
>AQY04153.1 metallo-beta-lactamase NDM-1, partial [Stenotrophomonas maltophilia]
>PIL47384.1 subclass B1 metallo-beta-lactamase NDM-1, partial [Acinetobacter baumannii]
>AVG45349.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]
>AVG45350.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]
>AVG45351.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]
>AWO67555.1 carbapenemase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]
>AXM05390.1 metallo-beta-lactamase NDM-1, partial [Morganella morganii]
>AXM05409.1 beta-lactamase NDM-1, partial [Enterobacter kobei]
>AHZ10948.1 metallo-beta-lactamase NDM-5, partial [Escherichia coli]
>ASR12244.1 beta-lactamase NDM-5, partial [Escherichia coli]
>ASR12245.1 beta-lactamase NDM-5, partial [Escherichia coli]
>AEY83746.1 NDM-6 metallo-beta-lactamase, partial (plasmid) [Escherichia coli]
