accession	category	reason
PIW54870.1	MAG_derived	Metallo-beta-lactamase sequence derived from metagenome-assembled genome
AUT31155.1	Cloning_vector	NDM-1 sequence from artificial cloning vector pBAD-kan-BlaP-NDM-1
AUT31257.1	Cloning_vector	NDM-5 sequence from artificial cloning vector pBAD-kan-BlaP-NDM-5
