accession	variant	length	category	description
sp|C7C422.1|BLAN1_KLEPN	NDM-1	270	Precursor	sp|C7C422.1|BLAN1_KLEPN RecName: Full=Metallo-beta-lactamase type 2; AltName: Full=B2 metallo-beta-lactamase; AltName: Full=Beta-lactamase type II; AltName: Full=Metallo-beta-lactamase NDM-1; AltName: Full=Metallo-beta-lactamase type II; AltName: Full=New Delhi metallo-beta-lactamase-1; Short=NDM-1; Flags: Precursor
CBZ39493.1	NDM-1	270	Biological_protein	CBZ39493.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]
CBZ39494.1	NDM-1	270	Biological_protein	CBZ39494.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]
AEH43774.1	NDM-1	270	Biological_protein	AEH43774.1 beta-lactamase NDM-1 [Escherichia coli]
pdb|3SPU|A	NDM-1	265	PDB_structure	pdb|3SPU|A Chain A, Beta-lactamase NDM-1
pdb|3SPU|B	NDM-1	265	PDB_structure	pdb|3SPU|B Chain B, Beta-lactamase NDM-1
pdb|3SPU|C	NDM-1	265	PDB_structure	pdb|3SPU|C Chain C, Beta-lactamase NDM-1
pdb|3SPU|D	NDM-1	265	PDB_structure	pdb|3SPU|D Chain D, Beta-lactamase NDM-1
pdb|3SPU|E	NDM-1	265	PDB_structure	pdb|3SPU|E Chain E, Beta-lactamase NDM-1
AEN71485.1	NDM-1	270	Plasmid_associated	AEN71485.1 NDM-1 metallo-beta-lactamase (plasmid) [Escherichia coli]
AEP32437.1	NDM-1	270	Biological_protein	AEP32437.1 NDM-1 [Klebsiella pneumoniae]
AEP32605.1	NDM-1	270	Plasmid_associated	AEP32605.1 NDM-1 metallo-beta-lactamase (plasmid) [Escherichia coli]
AEQ39149.1	NDM-1	248	Biological_protein	AEQ39149.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39150.1	NDM-1	248	Biological_protein	AEQ39150.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39151.1	NDM-1	248	Biological_protein	AEQ39151.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39152.1	NDM-1	248	Biological_protein	AEQ39152.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39153.1	NDM-1	248	Biological_protein	AEQ39153.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39154.1	NDM-1	248	Biological_protein	AEQ39154.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39155.1	NDM-1	241	Biological_protein	AEQ39155.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39156.1	NDM-1	248	Biological_protein	AEQ39156.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39157.1	NDM-1	248	Biological_protein	AEQ39157.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39158.1	NDM-1	248	Biological_protein	AEQ39158.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39159.1	NDM-1	248	Biological_protein	AEQ39159.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39160.1	NDM-1	248	Biological_protein	AEQ39160.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39161.1	NDM-1	248	Biological_protein	AEQ39161.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39162.1	NDM-1	248	Biological_protein	AEQ39162.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEQ39163.1	NDM-1	248	Biological_protein	AEQ39163.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]
AEU09805.1	NDM-1	270	Plasmid_associated	AEU09805.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
AEZ35987.1	NDM-1	270	Biological_protein	AEZ35987.1 NDM-1 [Acinetobacter baumannii]
AEZ49734.1	NDM-1	270	Plasmid_associated	AEZ49734.1 metallo-beta-lactamase NDM-1 (plasmid) [Providencia stuartii]
AEZ53138.1	NDM-1	270	Plasmid_associated	AEZ53138.1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
AFB35395.1	NDM-1	270	Plasmid_associated	AFB35395.1 beta-lactamase NDM-1 (plasmid) [Acinetobacter lwoffii]
AFB35440.1	NDM-1	270	Plasmid_associated	AFB35440.1 beta-lactamase NDM-1 (plasmid) [Acinetobacter lwoffii]
AFB82934.1	NDM-1	270	Plasmid_associated	AFB82934.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
AFC34741.1	NDM-1	270	Plasmid_associated	AFC34741.1 NDM-1 metallo-beta-lactamase (plasmid) [Klebsiella pneumoniae]
AFI72857.1	NDM-1	270	Plasmid_associated	AFI72857.1 NDM-1 (plasmid) [Escherichia coli]
AFK30949.1	NDM-1	270	Biological_protein	AFK30949.1 beta-lactamase NDM-1 [Pseudomonas aeruginosa]
AFO59785.1	NDM-1	270	Plasmid_associated	AFO59785.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
AFO59836.1	NDM-1	270	Plasmid_associated	AFO59836.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
AFP49131.1	NDM-1	270	Plasmid_associated	AFP49131.1 NDM-1 (plasmid) [Citrobacter freundii]
pdb|4EXS|B	NDM-1	272	PDB_structure	pdb|4EXS|B Chain B, Beta-lactamase NDM-1
pdb|4EXS|A	NDM-1	272	PDB_structure	pdb|4EXS|A Chain A, Beta-lactamase NDM-1
pdb|4EXY|A	NDM-1	272	PDB_structure	pdb|4EXY|A Chain A, Beta-lactamase NDM-1
pdb|4EXY|B	NDM-1	272	PDB_structure	pdb|4EXY|B Chain B, Beta-lactamase NDM-1
pdb|4EY2|A	NDM-1	270	PDB_structure	pdb|4EY2|A Chain A, Beta-lactamase NDM-1
pdb|4EY2|B	NDM-1	270	PDB_structure	pdb|4EY2|B Chain B, Beta-lactamase NDM-1
pdb|4EYF|A	NDM-1	270	PDB_structure	pdb|4EYF|A Chain A, Beta-lactamase NDM-1
pdb|4EYF|B	NDM-1	270	PDB_structure	pdb|4EYF|B Chain B, Beta-lactamase NDM-1
pdb|4EYL|A	NDM-1	272	PDB_structure	pdb|4EYL|A Chain A, Beta-lactamase NDM-1
pdb|4EYL|B	NDM-1	272	PDB_structure	pdb|4EYL|B Chain B, Beta-lactamase NDM-1
pdb|4EYB|A	NDM-1	270	PDB_structure	pdb|4EYB|A Chain A, Beta-lactamase NDM-1
pdb|4EYB|B	NDM-1	270	PDB_structure	pdb|4EYB|B Chain B, Beta-lactamase NDM-1
AFR11506.1	NDM-1	270	Plasmid_associated	AFR11506.1 metallo-beta-lactamase NDM-1 (plasmid) [Citrobacter freundii]
AFR11573.1	NDM-1	270	Plasmid_associated	AFR11573.1 metallo-beta-lactamase, NDM-1 (plasmid) [Klebsiella pneumoniae]
pdb|4GYQ|A	NDM-1	243	PDB_structure	pdb|4GYQ|A Chain A, Beta-lactamase NDM-1
pdb|4GYQ|B	NDM-1	243	PDB_structure	pdb|4GYQ|B Chain B, Beta-lactamase NDM-1
pdb|4GYQ|C	NDM-1	243	PDB_structure	pdb|4GYQ|C Chain C, Beta-lactamase NDM-1
pdb|4GYQ|D	NDM-1	243	PDB_structure	pdb|4GYQ|D Chain D, Beta-lactamase NDM-1
pdb|4GYU|A	NDM-1	243	PDB_structure	pdb|4GYU|A Chain A, Beta-lactamase NDM-1
pdb|4H0D|A	NDM-1	243	PDB_structure	pdb|4H0D|A Chain A, Beta-lactamase NDM-1
pdb|4H0D|B	NDM-1	243	PDB_structure	pdb|4H0D|B Chain B, Beta-lactamase NDM-1
AFS68806.1	NDM-1	270	Biological_protein	AFS68806.1 class B carbapenemase NDM-1 [Acinetobacter baumannii]
AFU75168.1	NDM-1	270	Plasmid_associated	AFU75168.1 beta-lactamase NDM-1 (plasmid) [Escherichia coli]
AFZ84487.1	NDM-1	270	Plasmid_associated	AFZ84487.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
pdb|4HL1|A	NDM-1	243	PDB_structure	pdb|4HL1|A Chain A, Beta-lactamase NDM-1
pdb|4HL1|B	NDM-1	243	PDB_structure	pdb|4HL1|B Chain B, Beta-lactamase NDM-1
pdb|4HL2|A	NDM-1	243	PDB_structure	pdb|4HL2|A Chain A, Beta-lactamase NDM-1
pdb|4HL2|B	NDM-1	243	PDB_structure	pdb|4HL2|B Chain B, Beta-lactamase NDM-1
AGB57362.1	NDM-1	270	Plasmid_associated	AGB57362.1 metallo beta lactamase NDM-1 (plasmid) [Enterobacter cloacae]
AGB57367.1	NDM-1	270	Plasmid_associated	AGB57367.1 metallo beta lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
AGB57371.1	NDM-1	270	Plasmid_associated	AGB57371.1 metallo beta lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
AGB57374.1	NDM-1	270	Plasmid_associated	AGB57374.1 metallo beta lactamase NDM-1 (plasmid) [Escherichia coli]
AGB57443.1	NDM-1	265	Biological_protein	AGB57443.1 metallo-beta-lactamase NDM-1, partial [Chryseobacterium indologenes]
AGC54620.1	NDM-1	270	Biological_protein	AGC54620.1 metallobetalactamase NDM-1 [Klebsiella pneumoniae]
AGC54621.1	NDM-1	270	Biological_protein	AGC54621.1 metallobetalactamase NDM-1 [Klebsiella pneumoniae]
AGC54622.1	NDM-1	270	Biological_protein	AGC54622.1 metallobetalactamase NDM-1 [Klebsiella pneumoniae]
AGC54623.1	NDM-1	270	Biological_protein	AGC54623.1 metallobetalactamase NDM-1 [Klebsiella pneumoniae]
AGC54624.1	NDM-1	270	Biological_protein	AGC54624.1 metallobetalactamase NDM-1 [Klebsiella pneumoniae]
AGC54631.1	NDM-1	270	Biological_protein	AGC54631.1 metallo-beta-lactamase NDM-1 [Pantoea agglomerans]
