AEQ39149.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]	248
AEQ39155.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]	241
AEQ39156.1 metallobetalactamase NDM-1, partial [Klebsiella pneumoniae]	248
AGB57443.1 metallo-beta-lactamase NDM-1, partial [Chryseobacterium indologenes]	265
AGD80054.1 metallo-beta-lactamase NDM-1, partial [Pseudomonas aeruginosa]	254
AGD80055.1 metallo-beta-lactamase NDM-1, partial [Pseudomonas aeruginosa]	250
AHC53896.1 metallo-beta-lactamase NDM-1, partial [Enterobacter cloacae]	265
APT66221.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]	247
APX52901.1 carbapenem-hydrolyzing metallo-beta-lactamase NDM-1, partial (plasmid) [Klebsiella pneumoniae]	249
AQY04153.1 metallo-beta-lactamase NDM-1, partial [Stenotrophomonas maltophilia]	246
PIL47384.1 subclass B1 metallo-beta-lactamase NDM-1, partial [Acinetobacter baumannii]	256
AVG45349.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]	244
AVG45350.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]	249
AVG45351.1 beta-metallo-lactamase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]	246
AWO67555.1 carbapenemase NDM-1, partial [Klebsiella pneumoniae subsp. pneumoniae]	252
AXM05390.1 metallo-beta-lactamase NDM-1, partial [Morganella morganii]	245
AXM05409.1 beta-lactamase NDM-1, partial [Enterobacter kobei]	240
AHZ10948.1 metallo-beta-lactamase NDM-5, partial [Escherichia coli]	255
ASR12244.1 beta-lactamase NDM-5, partial [Escherichia coli]	251
ASR12245.1 beta-lactamase NDM-5, partial [Escherichia coli]	245
AEY83746.1 NDM-6 metallo-beta-lactamase, partial (plasmid) [Escherichia coli]	264
