Variant	Accession	Entry	Gene_Names	Length	Organism	
NDM-1	C7C422	BLAN1_KLEPN	blaNDM-1	270	Klebsiella pneumoniae	PASS
NDM-20	A0A2P1H1P0	A0A2P1H1P0_ECOLX	blaNDM-20 blaNDM	270	Escherichia coli	PASS
NDM-17	A0A1P8C735	A0A1P8C735_ECOLX	blaNDM blaNDM-17	270	Escherichia coli	PASS
NDM-12	A0A024FRL9	A0A024FRL9_ECOLX	blaNDM-12	270	Escherichia coli	PASS
NDM-1	E9MW54	E9MW54_KLEPN	blaNDM-1	250	Klebsiella pneumoniae	FRAGMENT
NDM-4	A0A0G2ST15	A0A0G2ST15_KLEPN	blaNDM-4	270	Klebsiella pneumoniae	PASS
NDM-16	A0A0K1Z5K4	A0A0K1Z5K4_KLEPN	blaNDM-16	270	Klebsiella pneumoniae	PASS
NDM-11	A0A7T1X4S0	A0A7T1X4S0_CITFR	blaNDM-11	270	Citrobacter freundii	PASS
NDM-1	E9MW55	E9MW55_KLEPN	blaNDM-1	245	Klebsiella pneumoniae	FRAGMENT
NDM-6	G9JVE6	G9JVE6_ECOLX	blaNDM-6	270	Escherichia coli	PASS
NDM-1	A0A0A7Y424	A0A0A7Y424_ECOLX	blaNDM-1	264	Escherichia coli	PASS
NDM-4	A0A8D6APR8	A0A8D6APR8_KLEAE	blaNDM-4	270	Klebsiella aerogenes (Enterobacter aerogenes)	PASS
NDM-2	F2YZ26	F2YZ26_ACIBA	blaNDM-2	270	Acinetobacter baumannii	PASS
NDM-1	M4JT39	M4JT39_PSEAI	blaNDM-1	265	Pseudomonas aeruginosa	FRAGMENT
NDM-1	V9SCA3	V9SCA3_ENTCL	blaNDM-1	265	Enterobacter cloacae	FRAGMENT
NDM-14	A0A0C5H135	A0A0C5H135_ACILW	blaNDM-14	270	Acinetobacter lwoffii	PASS
NDM-1	H6VYQ1	H6VYQ1_ACILW	blaNDM-1	270	Acinetobacter lwoffii	PASS
NDM-1	U3LM85	U3LM85_9ENTR	blaNDM-1	270	Enterobacter ludwigii	PASS
NDM-5	U5TTL2	U5TTL2_KLEPN	blaNDM-5	270	Klebsiella pneumoniae	PASS
NDM-15	A0A0F6ZNP0	A0A0F6ZNP0_ECOLX	blaNDM-15	270	Escherichia coli	PASS
NDM-1	A0A0R8XYE3	A0A0R8XYE3_9GAMM	blaNDM-1	270	Acinetobacter soli	PASS
NDM-6	H6WET3	H6WET3_ECOLX	blaNDM-6	264	Escherichia coli	FRAGMENT
NDM-7	J7I0S9	J7I0S9_ECOLX	blaNDM-7	270	Escherichia coli	PASS
NDM-8	M1VE66	M1VE66_ECOLX	blaNDM-8	270	Escherichia coli	PASS
NDM-1	S0F2B6	S0F2B6_SALET	blaNDM-1	270	Salmonella enterica subsp. enterica serovar Corvallis	PASS
NDM-10	S5ZIP8	S5ZIP8_KLEPN	blaNDM-10	270	Klebsiella pneumoniae subsp. pneumoniae	PASS
NDM-7	X5CZV5	X5CZV5_KLEPN	blaNDM-7	270	Klebsiella pneumoniae	PASS
NDM-1	W8LAN3	W8LAN3_ACICA	blaNDM-1 blaNDM1	270	Acinetobacter calcoaceticus	PASS
NDM-1	F6IAY7	F6IAY7_PSEAI	blaNDM-1 blaNDM1	270	Pseudomonas aeruginosa	PASS
NDM-1	A0A0B4ZUY6	A0A0B4ZUY6_SERMA	blaNDM-1 AN695_0225845	270	Serratia marcescens	PASS
NDM-1	A0A9N8GYP9	A0A9N8GYP9_PRORE	blaNDM-1 GHA_04172	270	Providencia rettgeri	PASS
NDM-1	A0ABN7GT79	A0ABN7GT79_9ENTR	blaNDM-1 GHA_04793	270	Citrobacter youngae	PASS
NDM-3	I3VKD5	I3VKD5_ECOLX	NDM-3 blaNDM-3	270	Escherichia coli	PASS
NDM-1	H9BVE1	H9BVE1_ACIHA	blaNDM-1 ABC7926_0003	270	Acinetobacter haemolyticus	PASS
NDM-1	A0ABM7W3K7	A0ABM7W3K7_9ENTR	blaNDM-1 PDTA9734_56600	270	Phytobacter diazotrophicus	PASS
NDM-13	A0A0A8J940	A0A0A8J940_ECOLX	blaNDM-13 QO046_28520	270	Escherichia coli	PASS
NDM-1	A0A3T0VDQ5	A0A3T0VDQ5_9ENTR	blaNDM-1 TML_05949	270	Citrobacter werkmanii	PASS
NDM-1	E7E277	E7E277_ACIJU	blaNDM-1 H2677_15935	270	Acinetobacter junii	PASS
NDM-1	R4L303	R4L303_KLEAE	blaNDM-1 p3SP-NDM_0009	270	Klebsiella aerogenes (Enterobacter aerogenes)	PASS
NDM-9	T2A6Y2	T2A6Y2_KLEPN	blaNDM-9 NDM-pph1303_1	270	Klebsiella pneumoniae subsp. pneumoniae	PASS
NDM-1	W0FF89	W0FF89_ACIBZ	blaNDM-1 ABCA242_0003 I9054_022540	270	Acinetobacter bereziniae (Acinetobacter genomosp. 10)	PASS
NDM-1	W8SMM4	W8SMM4_KLEOX	blaNDM-1 RYF40_006135 RYF40_006221	270	Klebsiella oxytoca	PASS
NDM-1	M1RCY7	M1RCY7_9ENTR	blaNDM-1 AA409_0034 CGZ54_27715	270	Enterobacter hormaechei	PASS
NDM-1	A0A0B4ZV32	A0A0B4ZV32_PROMI	blaNDM-1 NDM-1 I3679_019825	270	Proteus mirabilis	PASS
NDM-4	H6WZS9	H6WZS9_ECOLX	bla(NDM-4) blaNDM-4 NDM-4	270	Escherichia coli	PASS
NDM-1	I3V6N6	I3V6N6_ACIPI	blaNDM-1 ABC8415_0021 JDA50_20930 MWH18_03795	270	Acinetobacter pittii (Acinetobacter genomosp. 3)	PASS
NDM-5	G3K399	G3K399_ECOLX	blaNDM-5 blaNDM CWS33_26475 EIZ93_26035 ID255_p0115 NY836_15970 pEC1929_0014 PWL68_005154 PWL68_005368 TUM18780_51250	270	Escherichia coli	PASS
NDM-1	J7LFC7	J7LFC7_CITFR	blaNDM-1 NDM-1 p112298NDM_022 pCFNDM-CN_0021 RYZ67_27475	270	Citrobacter freundii	PASS
NDM-1	H6BEJ7	H6BEJ7_ENTCL	blaNDM-1 P3S46_08705 pCRE727_21 pNDM1_EC14653_00114 pYQ13500_022	270	Enterobacter cloacae	PASS
NDM-1	I0CCE1	I0CCE1_PRORE	blaNDM-1 09AY2001NDM_056 AOY08_100023 EX242_14345 OGX73_23865 QDQ51_21230	270	Providencia rettgeri	PASS
NDM-1	F8UNN7	F8UNN7_ACIBA	NDM-1 blaNDM-1 ABC3229_0003 ABR2091_3046 CBE85_20035 DOL94_02685 GSE42_20110 IAG11_18570 J6E47_00640 pNDM-AB_009	270	Acinetobacter baumannii	PASS
NDM-1	E5KIY2	E5KIY2_ECOLX	blaNDM-1 bla NDM-1 AZ95_0035 BANRA_05542 E4K51_24975 ECS01_0033 G5603_25730 NDM1Dok01_N0175 P6223_005359 P6223_006060 pNDM102337_147 pNDM10505_149 RZR61_25285	270	Escherichia coli	PASS
