accession,variant,mutation_count
OES48450.1,NDM-1,39
PIL86686.1,NDM-1,11
BBE58699.1,NDM-1,8
ALQ87875.1,NDM-1,2
OAI32049.1,NDM-1,2
AGC54622.1,NDM-1,1
ANF80532.1,NDM-1,1
QIM11779.1,NDM-1,1
ALD19783.1,NDM-1,0
CBZ39493.1,NDM-1,0
AEA41876.1,NDM-2,1
AMO51457.1,NDM-3,4
AFK80349.1,NDM-3,1
AFB82585.1,NDM-4,1
AYU88714.1,NDM-5,4
AXH80118.1,NDM-5,3
AYU88743.1,NDM-5,1
AGS56768.1,NDM-6,1
BAM84089.1,NDM-8,2
AGT37351.1,NDM-10,5
AJE61443.1,NDM-11,1
BAO79439.1,NDM-12,2
BAQ02518.1,NDM-13,2
WP_063860857.1,NDM-14,1
WP_063860858.1,NDM-15,2
A0A0K1Z5K4,NDM-16,1
AOT73359.1,NDM-17,3
AVN57295.1,NDM-17,3
APZ75411.1,NDM-18,0
ASC49561.1,NDM-19,3
