Entry	Entry Name	Protein names	Gene Names	Length	Organism
C7C422	BLAN1_KLEPN	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1)	blaNDM-1	270	Klebsiella pneumoniae
A0A2P1H1P0	A0A2P1H1P0_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM-20 blaNDM	270	Escherichia coli
A0A1P8C735	A0A1P8C735_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM blaNDM-17	270	Escherichia coli
A0A1P8VH15	A0A1P8VH15_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM	275	Escherichia coli
A0A5K6W925	A0A5K6W925_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Escherichia coli
A0A5Q0MV96	A0A5Q0MV96_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Klebsiella pneumoniae
A0A8G1A6Z8	A0A8G1A6Z8_ACIBA	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Acinetobacter baumannii
A0A140IHH4	A0A140IHH4_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Escherichia coli
A0A1Z3FWF5	A0A1Z3FWF5_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Escherichia coli
A0A2Z4BV56	A0A2Z4BV56_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Klebsiella pneumoniae
A0A3G3C0Q6	A0A3G3C0Q6_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Escherichia coli
A0A2S1T3V3	A0A2S1T3V3_ENTCL	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Enterobacter cloacae
A0A291NY14	A0A291NY14_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Escherichia coli
A0A5K6VNM3	A0A5K6VNM3_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Klebsiella pneumoniae
A0A8G1A6Q8	A0A8G1A6Q8_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Klebsiella pneumoniae
A0A2Z4BV07	A0A2Z4BV07_PROST	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Providencia stuartii
A0A410SN60	A0A410SN60_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Klebsiella pneumoniae
A0A7U3SUP9	A0A7U3SUP9_KLEOX	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Klebsiella oxytoca
A0A7U3SV85	A0A7U3SV85_9ENTR	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Citrobacter werkmanii
A0A8F1D5U2	A0A8F1D5U2_PRORE	beta-lactamase (EC 3.5.2.6)	blaNDM	270	Providencia rettgeri
A0A024FRL9	A0A024FRL9_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM-12	270	Escherichia coli
E9MW54	E9MW54_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM-1	250	Klebsiella pneumoniae
A0A0G2ST15	A0A0G2ST15_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM-4	270	Klebsiella pneumoniae
A0A0K1Z5K4	A0A0K1Z5K4_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM-16	270	Klebsiella pneumoniae
A0A7T1X4S0	A0A7T1X4S0_CITFR	beta-lactamase (EC 3.5.2.6)	blaNDM-11	270	Citrobacter freundii
E9MW55	E9MW55_KLEPN	beta-lactamase (EC 3.5.2.6)	blaNDM-1	245	Klebsiella pneumoniae
G9JVE6	G9JVE6_ECOLX	beta-lactamase (EC 3.5.2.6)	blaNDM-6	270	Escherichia coli
